ID,NAME,CR,TYPE,SIZE,ALIGNMENT,HABITAT,SOURCE,URL
2560713,Adult Kruthik,2,Monstrosity,Medium,Unaligned,"Desert, Mountain, Underdark",Mordenkainen Presents: Monsters Of The Multiverse,https://www.dndbeyond.com/monsters/2560713-adult-kruthik
97345,Adult Kruthik,2,Monstrosity,Medium,Unaligned,"Desert, Mountain, Underdark",Mordenkainen’S Tome Of Foes,https://www.dndbeyond.com/monsters/97345-adult-kruthik
2821144,Adult Lunar Dragon,13,Dragon,Huge,Typically Neutral Evil,,Spelljammer: Adventures In Space,https://www.dndbeyond.com/monsters/2821144-adult-lunar-dragon
2059686,Adult Moonstone Dragon,15,Dragon,Huge,Typically Neutral,,Fizban'S Treasury Of Dragons,https://www.dndbeyond.com/monsters/2059686-adult-moonstone-dragon
2560714,Adult Oblex,5,Ooze,Medium,Typically Lawful Evil,"Swamp, Underdark, Urban",Mordenkainen Presents: Monsters Of The Multiverse,https://www.dndbeyond.com/monsters/2560714-adult-oblex
96508,Adult Oblex,5,Ooze,Medium,Lawful Evil,"Swamp, Underdark, Urban",Mordenkainen’S Tome Of Foes,https://www.dndbeyond.com/monsters/96508-adult-oblex
1237457,Adult Red Dracolich,17,Undead,Huge,Chaotic Evil,"Hill, Mountain",Monster Manual (2014),https://www.dndbeyond.com/monsters/1237457-adult-red-dracolich
5194875,Adult Red Dragon,17,Dragon (Chromatic),Huge,Chaotic Evil,"Hill, Mountain",Monster Manual,https://www.dndbeyond.com/monsters/5194875-adult-red-dragon
16771,Adult Red Dragon,17,Dragon,Huge,Chaotic Evil,"Hill, Mountain",Basic Rules (2014),https://www.dndbeyond.com/monsters/16771-adult-red-dragon
571179,Adult Sapphire Dragon,15,Dragon (Gem),Huge,Typically Lawful Neutral,,Fizban'S Treasury Of Dragons,https://www.dndbeyond.com/monsters/571179-adult-sapphire-dragon
5194876,Adult Silver Dragon,16,Dragon (Metallic),Huge,Lawful Good,"Mountain, Urban",Monster Manual,https://www.dndbeyond.com/monsters/5194876-adult-silver-dragon
16772,Adult Silver Dragon,16,Dragon,Huge,Lawful Good,"Mountain, Urban",Basic Rules (2014),https://www.dndbeyond.com/monsters/16772-adult-silver-dragon
2821145,Adult Solar Dragon,14,Dragon,Huge,Typically Neutral,,Spelljammer: Adventures In Space,https://www.dndbeyond.com/monsters/2821145-adult-solar-dragon
3883515,Adult Time Dragon,18,Dragon,Huge,Typically Neutral,,Planescape: Adventures In The Multiverse,https://www.dndbeyond.com/monsters/3883515-adult-time-dragon
2059687,Adult Topaz Dragon,13,Dragon (Gem),Huge,Typically Chaotic Neutral,,Fizban'S Treasury Of Dragons,https://www.dndbeyond.com/monsters/2059687-adult-topaz-dragon
5194877,Adult White Dragon,13,Dragon (Chromatic),Huge,Chaotic Evil,Arctic,Monster Manual,https://www.dndbeyond.com/monsters/5194877-adult-white-dragon
16773,Adult White Dragon,13,Dragon,Huge,Chaotic Evil,Arctic,Basic Rules (2014),https://www.dndbeyond.com/monsters/16773-adult-white-dragon
3960596,Advanced Detention Drone,7,Construct,Large,Unaligned,,The Book Of Many Things,https://www.dndbeyond.com/monsters/3960596-advanced-detention-drone
17427,Aerisi Kalinoth,7,Humanoid (Elf),Medium,Neutral Evil,,Princes Of The Apocalypse,https://www.dndbeyond.com/monsters/17427-aerisi-kalinoth
3730987,Aerosaur,10,Monstrosity (Dinosaur),Gargantuan,Unaligned,,Bigby Presents: Glory Of The Giants,https://www.dndbeyond.com/monsters/3730987-aerosaur
1979768,Agdon Longscarf,2,Fey (Harengon),Medium,Chaotic Evil,,The Wild Beyond The Witchlight,https://www.dndbeyond.com/monsters/1979768-agdon-longscarf
2821146,Agony the Ghost,4,Undead,Medium,Any Alignment,,Spelljammer: Adventures In Space,https://www.dndbeyond.com/monsters/2821146-agony-the-ghost
149778,Ahmaergo,9,Humanoid (Dwarf),Medium,Lawful Evil,,Waterdeep: Dragon Heist,https://www.dndbeyond.com/monsters/149778-ahmaergo
5194878,Air Elemental,5,Elemental,Large,Neutral,"Desert, Mountain, Planar (Elemental Plane of Air)",Monster Manual,https://www.dndbeyond.com/monsters/5194878-air-elemental
16774,Air Elemental,5,Elemental,Large,Neutral,"Desert, Mountain",Basic Rules (2014),https://www.dndbeyond.com/monsters/16774-air-elemental
17457,Air Elemental Myrmidon,7,Elemental,Medium,Neutral,,Princes Of The Apocalypse,https://www.dndbeyond.com/monsters/17457-air-elemental-myrmidon
2560715,Air Elemental Myrmidon,7,Elemental,Medium,Typically Neutral,,Mordenkainen Presents: Monsters Of The Multiverse,https://www.dndbeyond.com/monsters/2560715-air-elemental-myrmidon
909468,Akroan Hoplite,3,Humanoid,Medium,Any Alignment,,Mythic Odysseys Of Theros,https://www.dndbeyond.com/monsters/909468-akroan-hoplite
1979769,Alagarthas,3,Humanoid (Elf),Medium,Chaotic Good,,The Wild Beyond The Witchlight,https://www.dndbeyond.com/monsters/1979769-alagarthas
32988,Albino Dwarf Spirit Warrior,1,Humanoid (Dwarf),Medium,Any Alignment,,Tomb Of Annihilation,https://www.dndbeyond.com/monsters/32988-albino-dwarf-spirit-warrior
32985,Albino Dwarf Warrior,1/4,Humanoid (Dwarf),Medium,Any Alignment,,Tomb Of Annihilation,https://www.dndbeyond.com/monsters/32985-albino-dwarf-warrior
32991,Aldani (Lobsterfolk),1,Monstrosity,Medium,Lawful Neutral,,Tomb Of Annihilation,https://www.dndbeyond.com/monsters/32991-aldani-lobsterfolk
2560716,Alhoon,10,"Undead (Mind Flayer, Wizard)",Medium,Typically Neutral Evil,Underdark,Mordenkainen Presents: Monsters Of The Multiverse,https://www.dndbeyond.com/monsters/2560716-alhoon
17282,Alhoon,10,Undead,Medium,Any Evil Alignment,Underdark,Volo'S Guide To Monsters,https://www.dndbeyond.com/monsters/17282-alhoon
2560717,Alkilith,11,Fiend (Demon),Medium,Typically Chaotic Evil,"Underdark, Urban",Mordenkainen Presents: Monsters Of The Multiverse,https://www.dndbeyond.com/monsters/2560717-alkilith
94158,Alkilith,11,Fiend (Demon),Medium,Chaotic Evil,"Underdark, Urban",Mordenkainen’S Tome Of Foes,https://www.dndbeyond.com/monsters/94158-alkilith
2560718,Allip,5,Undead,Medium,Typically Neutral Evil,"Swamp, Urban",Mordenkainen Presents: Monsters Of The Multiverse,https://www.dndbeyond.com/monsters/2560718-allip
93770,Allip,5,Undead,Medium,Neutral Evil,"Swamp, Urban",Mordenkainen’S Tome Of Foes,https://www.dndbeyond.com/monsters/93770-allip
5194879,Allosaurus,2,Beast (Dinosaur),Large,Unaligned,Grassland,Monster Manual,https://www.dndbeyond.com/monsters/5194879-allosaurus
17087,Allosaurus,2,Beast,Large,Unaligned,Grassland,Basic Rules (2014),https://www.dndbeyond.com/monsters/17087-allosaurus
32994,Almiraj,0,Beast,Small,Unaligned,,Tomb Of Annihilation,https://www.dndbeyond.com/monsters/32994-almiraj
909469,Alseid,1,Fey,Medium,Chaotic Good,,Mythic Odysseys Of Theros,https://www.dndbeyond.com/monsters/909469-alseid
3730988,Altisaur,13,Monstrosity (Dinosaur),Gargantuan,Unaligned,,Bigby Presents: Glory Of The Giants,https://www.dndbeyond.com/monsters/3730988-altisaur
4468312,Alustriel Silverhand,21,"Humanoid (Human, Wizard)",Medium,Chaotic Good,,Vecna: Eve Of Ruin,https://www.dndbeyond.com/monsters/4468312-alustriel-silverhand
274505,Amarith Coppervein,3,Humanoid (Dwarf),Medium,Neutral Good,"Arctic, Coastal, Forest, Grassland, Hill, Mountain, Underdark, Urban",Out Of The Abyss,https://www.dndbeyond.com/monsters/274505-amarith-coppervein
3960597,Ambitious Assassin,5,Humanoid,Medium or Small,Typically Neutral Evil,,The Book Of Many Things,https://www.dndbeyond.com/monsters/3960597-ambitious-assassin
488023,Amble,10,Humanoid (Tortle),Medium,Lawful Good,,Locathah Rising,https://www.dndbeyond.com/monsters/488023-amble
17466,Ambush Drake,1/2,Dragon,Medium,Unaligned,,Tyranny Of Dragons,https://www.dndbeyond.com/monsters/17466-ambush-drake
2059688,Amethyst Dragon Wyrmling,4,Dragon (Gem),Medium,Typically Neutral,,Fizban'S Treasury Of Dragons,https://www.dndbeyond.com/monsters/2059688-amethyst-dragon-wyrmling
2059689,Amethyst Greatwyrm,26,Dragon (Gem),Gargantuan,Typically Neutral,,Fizban'S Treasury Of Dragons,https://www.dndbeyond.com/monsters/2059689-amethyst-greatwyrm
1979770,Amidor the Dandelion,1/2,Plant,Small,Neutral Good,,The Wild Beyond The Witchlight,https://www.dndbeyond.com/monsters/1979770-amidor-the-dandelion
149799,Ammalia Cassalanter,5,Humanoid (Human),Medium,Lawful Evil,,Waterdeep: Dragon Heist,https://www.dndbeyond.com/monsters/149799-ammalia-cassalanter
2560720,Amnizu,18,Fiend (Devil),Medium,Typically Lawful Evil,,Mordenkainen Presents: Monsters Of The Multiverse,https://www.dndbeyond.com/monsters/2560720-amnizu
94669,Amnizu,18,Fiend (Devil),Medium,Lawful Evil,,Mordenkainen’S Tome Of Foes,https://www.dndbeyond.com/monsters/94669-amnizu
2560719,Amnizu (Summoner Variant),18,Fiend (Devil),Medium,Typically Lawful Evil,,Mordenkainen Presents: Monsters Of The Multiverse,https://www.dndbeyond.com/monsters/2560719-amnizu-summoner-variant
302932,Amnizu (Summoner Variant),18,Fiend (Devil),Medium,Lawful Evil,,Mordenkainen’S Tome Of Foes,https://www.dndbeyond.com/monsters/302932-amnizu-summoner-variant
294035,Amphisbaena,3,Beast,Huge,Unaligned,"Desert, Forest, Swamp, Underdark, Underwater",Tales From The Yawning Portal,https://www.dndbeyond.com/monsters/294035-amphisbaena
309672,Amphisbaena (Monstrosity),1/2,Monstrosity,Medium,Unaligned,,Ghosts Of Saltmarsh,https://www.dndbeyond.com/monsters/309672-amphisbaena-monstrosity
417759,Amrik Vanthampur,3,Humanoid (Human),Medium,Lawful Evil,,Baldur’S Gate: Descent Into Avernus,https://www.dndbeyond.com/monsters/417759-amrik-vanthampur
175893,Anarch,1/4,Humanoid (Any Race),Medium,Chaotic Neutral,,Guildmasters’ Guide To Ravnica,https://www.dndbeyond.com/monsters/175893-anarch
338584,Anchorite of Talos,3,"Humanoid (Half-Orc, Shapechanger)",Medium,Neutral Evil,,Dragon Of Icespire Peak,https://www.dndbeyond.com/monsters/338584-anchorite-of-talos
2059690,Ancient Amethyst Dragon,23,Dragon (Gem),Gargantuan,Typically Neutral,,Fizban'S Treasury Of Dragons,https://www.dndbeyond.com/monsters/2059690-ancient-amethyst-dragon
5194880,Ancient Black Dragon,21,Dragon (Chromatic),Gargantuan,Chaotic Evil,Swamp,Monster Manual,https://www.dndbeyond.com/monsters/5194880-ancient-black-dragon
16775,Ancient Black Dragon,21,Dragon,Gargantuan,Chaotic Evil,Swamp,Basic Rules (2014),https://www.dndbeyond.com/monsters/16775-ancient-black-dragon
5194881,Ancient Blue Dragon,23,Dragon (Chromatic),Gargantuan,Lawful Evil,"Coastal, Desert",Monster Manual,https://www.dndbeyond.com/monsters/5194881-ancient-blue-dragon
16776,Ancient Blue Dragon,23,Dragon,Gargantuan,Lawful Evil,"Coastal, Desert",Basic Rules (2014),https://www.dndbeyond.com/monsters/16776-ancient-blue-dragon
5194882,Ancient Brass Dragon,20,Dragon (Metallic),Gargantuan,Chaotic Good,Desert,Monster Manual,https://www.dndbeyond.com/monsters/5194882-ancient-brass-dragon
16777,Ancient Brass Dragon,20,Dragon,Gargantuan,Chaotic Good,Desert,Basic Rules (2014),https://www.dndbeyond.com/monsters/16777-ancient-brass-dragon
5194883,Ancient Bronze Dragon,22,Dragon (Metallic),Gargantuan,Lawful Good,Coastal,Monster Manual,https://www.dndbeyond.com/monsters/5194883-ancient-bronze-dragon
16778,Ancient Bronze Dragon,22,Dragon,Gargantuan,Lawful Good,Coastal,Basic Rules (2014),https://www.dndbeyond.com/monsters/16778-ancient-bronze-dragon
748147,Ancient Construct,4,Construct,Large,Unaligned,,Princes Of The Apocalypse,https://www.dndbeyond.com/monsters/748147-ancient-construct
5194884,Ancient Copper Dragon,21,Dragon (Metallic),Gargantuan,Chaotic Good,Hill,Monster Manual,https://www.dndbeyond.com/monsters/5194884-ancient-copper-dragon
16779,Ancient Copper Dragon,21,Dragon,Gargantuan,Chaotic Good,Hill,Basic Rules (2014),https://www.dndbeyond.com/monsters/16779-ancient-copper-dragon
2059691,Ancient Crystal Dragon,19,Dragon (Gem),Gargantuan,Typically Chaotic Neutral,,Fizban'S Treasury Of Dragons,https://www.dndbeyond.com/monsters/2059691-ancient-crystal-dragon
360022,Ancient Deep Crow,15,Monstrosity,Huge,Unaligned,,Acquisitions Incorporated,https://www.dndbeyond.com/monsters/360022-ancient-deep-crow
2059692,Ancient Deep Dragon,18,Dragon,Gargantuan,Typically Neutral Evil,,Fizban'S Treasury Of Dragons,https://www.dndbeyond.com/monsters/2059692-ancient-deep-dragon
2059693,Ancient Dragon Turtle,24,Dragon,Gargantuan,Typically Neutral,,Fizban'S Treasury Of Dragons,https://www.dndbeyond.com/monsters/2059693-ancient-dragon-turtle
2059694,Ancient Emerald Dragon,21,Dragon (Gem),Gargantuan,Typically Lawful Neutral,,Fizban'S Treasury Of Dragons,https://www.dndbeyond.com/monsters/2059694-ancient-emerald-dragon
5194885,Ancient Gold Dragon,24,Dragon (Metallic),Gargantuan,Lawful Good,"Forest, Grassland",Monster Manual,https://www.dndbeyond.com/monsters/5194885-ancient-gold-dragon
16780,Ancient Gold Dragon,24,Dragon,Gargantuan,Lawful Good,"Forest, Grassland",Basic Rules (2014),https://www.dndbeyond.com/monsters/16780-ancient-gold-dragon
5194886,Ancient Green Dragon,22,Dragon (Chromatic),Gargantuan,Lawful Evil,Forest,Monster Manual,https://www.dndbeyond.com/monsters/5194886-ancient-green-dragon
16781,Ancient Green Dragon,22,Dragon,Gargantuan,Lawful Evil,Forest,Basic Rules (2014),https://www.dndbeyond.com/monsters/16781-ancient-green-dragon
2821147,Ancient Lunar Dragon,19,Dragon,Gargantuan,Typically Neutral Evil,,Spelljammer: Adventures In Space,https://www.dndbeyond.com/monsters/2821147-ancient-lunar-dragon
2059695,Ancient Moonstone Dragon,21,Dragon,Gargantuan,Typically Neutral,,Fizban'S Treasury Of Dragons,https://www.dndbeyond.com/monsters/2059695-ancient-moonstone-dragon
5194887,Ancient Red Dragon,24,Dragon (Chromatic),Gargantuan,Chaotic Evil,"Hill, Mountain",Monster Manual,https://www.dndbeyond.com/monsters/5194887-ancient-red-dragon
16782,Ancient Red Dragon,24,Dragon,Gargantuan,Chaotic Evil,"Hill, Mountain",Basic Rules (2014),https://www.dndbeyond.com/monsters/16782-ancient-red-dragon
2059696,Ancient Sapphire Dragon,22,Dragon (Gem),Gargantuan,Typically Lawful Neutral,,Fizban'S Treasury Of Dragons,https://www.dndbeyond.com/monsters/2059696-ancient-sapphire-dragon
2059697,Ancient Sea Serpent,14,Dragon,Gargantuan,Typically Neutral,,Fizban'S Treasury Of Dragons,https://www.dndbeyond.com/monsters/2059697-ancient-sea-serpent
5194888,Ancient Silver Dragon,23,Dragon (Metallic),Gargantuan,Lawful Good,"Mountain, Urban",Monster Manual,https://www.dndbeyond.com/monsters/5194888-ancient-silver-dragon
16783,Ancient Silver Dragon,23,Dragon,Gargantuan,Lawful Good,"Mountain, Urban",Basic Rules (2014),https://www.dndbeyond.com/monsters/16783-ancient-silver-dragon
2821148,Ancient Solar Dragon,21,Dragon,Gargantuan,Typically Neutral,,Spelljammer: Adventures In Space,https://www.dndbeyond.com/monsters/2821148-ancient-solar-dragon
3883516,Ancient Time Dragon,26,Dragon,Gargantuan,Typically Neutral,,Planescape: Adventures In The Multiverse,https://www.dndbeyond.com/monsters/3883516-ancient-time-dragon
2059698,Ancient Topaz Dragon,20,Dragon (Gem),Gargantuan,Typically Chaotic Neutral,,Fizban'S Treasury Of Dragons,https://www.dndbeyond.com/monsters/2059698-ancient-topaz-dragon
5194889,Ancient White Dragon,20,Dragon (Chromatic),Gargantuan,Chaotic Evil,Arctic,Monster Manual,https://www.dndbeyond.com/monsters/5194889-ancient-white-dragon
16784,Ancient White Dragon,20,Dragon,Gargantuan,Chaotic Evil,Arctic,Basic Rules (2014),https://www.dndbeyond.com/monsters/16784-ancient-white-dragon
584791,Andras,8,Humanoid (Human),Medium,Neutral Evil,Urban,Infernal Machine Rebuild,https://www.dndbeyond.com/monsters/584791-andras
4635138,Android,5,Construct,Medium,Typically Lawful Neutral,,Quests From The Infinite Staircase,https://www.dndbeyond.com/monsters/4635138-android
16785,Androsphinx,17,Monstrosity,Large,Lawful Neutral,Desert,Basic Rules (2014),https://www.dndbeyond.com/monsters/16785-androsphinx
2560721,Angry Sorrowsworn,13,Monstrosity,Medium,Typically Neutral Evil,"Underdark, Urban",Mordenkainen Presents: Monsters Of The Multiverse,https://www.dndbeyond.com/monsters/2560721-angry-sorrowsworn
3081098,Anhkolox,9,Undead,Huge,Typically Neutral Evil,,Dragonlance: Shadow Of The Dragon Queen,https://www.dndbeyond.com/monsters/3081098-anhkolox
5194892,Animal Lord,20,Celestial,Medium,Neutral,Planar (Beastlands),Monster Manual,https://www.dndbeyond.com/monsters/5194892-animal-lord
5194890,Animal Lord (Forager),20,Celestial,Medium,Neutral,Planar (Beastlands),Monster Manual,https://www.dndbeyond.com/monsters/5194890-animal-lord-forager
5194891,Animal Lord (Hunter),20,Celestial,Medium,Neutral,Planar (Beastlands),Monster Manual,https://www.dndbeyond.com/monsters/5194891-animal-lord-hunter
5197987,Animal Lord (Sage),20,Celestial,Medium,Neutral,Planar (Beastlands),Monster Manual,https://www.dndbeyond.com/monsters/5197987-animal-lord-sage
5194893,Animated Armor,1,Construct,Medium,Unaligned,Urban,Monster Manual,https://www.dndbeyond.com/monsters/5194893-animated-armor
16786,Animated Armor,1,Construct,Medium,Unaligned,,Basic Rules (2014),https://www.dndbeyond.com/monsters/16786-animated-armor
3960598,Animated Armor Detention Drone,1,Construct,Medium,Unaligned,,The Book Of Many Things,https://www.dndbeyond.com/monsters/3960598-animated-armor-detention-drone
266215,Animated Ballista,2,Construct,Large,Unaligned,,Waterdeep: Dungeon Of The Mad Mage,https://www.dndbeyond.com/monsters/266215-animated-ballista
2059704,Animated Breath,6,Elemental,Large,Typically Neutral Evil,,Fizban'S Treasury Of Dragons,https://www.dndbeyond.com/monsters/2059704-animated-breath
2059699,Animated Breath (Acid Form),6,Elemental,Large,Typically Neutral Evil,,Fizban'S Treasury Of Dragons,https://www.dndbeyond.com/monsters/2059699-animated-breath-acid-form
2059700,Animated Breath (Cold Form),6,Elemental,Large,Typically Neutral Evil,,Fizban'S Treasury Of Dragons,https://www.dndbeyond.com/monsters/2059700-animated-breath-cold-form
2059701,Animated Breath (Fire Form),6,Elemental,Large,Typically Neutral Evil,,Fizban'S Treasury Of Dragons,https://www.dndbeyond.com/monsters/2059701-animated-breath-fire-form
2059702,Animated Breath (Lightning Form),6,Elemental,Large,Typically Neutral Evil,,Fizban'S Treasury Of Dragons,https://www.dndbeyond.com/monsters/2059702-animated-breath-lightning-form
2059703,Animated Breath (Poison Form),6,Elemental,Large,Typically Neutral Evil,,Fizban'S Treasury Of Dragons,https://www.dndbeyond.com/monsters/2059703-animated-breath-poison-form
5194894,Animated Broom,1/4,Construct,Small,Unaligned,Urban,Monster Manual,https://www.dndbeyond.com/monsters/5194894-animated-broom
1528953,Animated Broom,1/4,Construct,Small,,,Candlekeep Mysteries,https://www.dndbeyond.com/monsters/1528953-animated-broom
1528954,Animated Chained Library,1,Construct,Large,,,Candlekeep Mysteries,https://www.dndbeyond.com/monsters/1528954-animated-chained-library
3920396,Animated Coffin,3,Construct,Large,Unaligned,,Adventure Atlas: The Mortuary,https://www.dndbeyond.com/monsters/3920396-animated-coffin
5194895,Animated Flying Sword,1/4,Construct,Small,Unaligned,Urban,Monster Manual,https://www.dndbeyond.com/monsters/5194895-animated-flying-sword
299572,Animated Halberd,1/4,Construct,Small,Unaligned,,Curse Of Strahd,https://www.dndbeyond.com/monsters/299572-animated-halberd
5194896,Animated Rug of Smothering,2,Construct,Large,Unaligned,Urban,Monster Manual,https://www.dndbeyond.com/monsters/5194896-animated-rug-of-smothering
276665,Animated Staff of Frost,4,Construct,Medium,Neutral Evil,,Waterdeep: Dungeon Of The Mad Mage,https://www.dndbeyond.com/monsters/276665-animated-staff-of-frost
273045,Animated Statue,12,Construct,Medium,Unaligned,Urban,Waterdeep: Dungeon Of The Mad Mage,https://www.dndbeyond.com/monsters/273045-animated-statue
275574,Animated Stove,3,Construct,Large,Unaligned,,Waterdeep: Dungeon Of The Mad Mage,https://www.dndbeyond.com/monsters/275574-animated-stove
