ID,NAME,RARITY,TYPE,ATTUNEMENT,NOTES,SOURCE,URL
4569,Amulet of Proof against Detection and Location,Uncommon,Wondrous Item,Required,"Deception, Jewelry",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/4569-amulet-of-proof-against-detection-and-location
9288,Amulet of Protection from Turning,Rare,Wondrous Item,Required,"Advantage: Saving Throws, Buff, Warding",Tales from the Yawning Portal,https://www.dndbeyond.com/magic-items/9288-amulet-of-protection-from-turning
21712,Amulet of the Black Skull,Very Rare,Wondrous Item,Required,"Teleportation, Bane",Tomb of Annihilation,https://www.dndbeyond.com/magic-items/21712-amulet-of-the-black-skull
2411830,Amulet of the Devout,Varies,Wondrous Item,Required,"Bonus: Spell Attacks, Bonus: Spell Save DC, cleric or paladin",Tasha’s Cauldron of Everything,https://www.dndbeyond.com/magic-items/2411830-amulet-of-the-devout
9228345,Amulet of the Planes,Very Rare,Wondrous Item,Required,,Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/9228345-amulet-of-the-planes
4570,Amulet of the Planes,Very Rare,Wondrous Item,Required,"Teleportation, Exploration, Jewelry",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4570-amulet-of-the-planes
4571,Animated Shield,Very Rare,Armor,Required,"Utility, Warding",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/4571-animated-shield
7526578,Antimagic Armor,Very Rare,Armor,Required,"Advantage: Saving Throws, Control, Negation, Warding",The Book of Many Things,https://www.dndbeyond.com/magic-items/7526578-antimagic-armor
9228348,Apparatus of Kwalish,Legendary,Wondrous Item,,"Immunity: Poison, Immunity: Psychic",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/9228348-apparatus-of-kwalish
5344,Apparatus of Kwalish,Legendary,Wondrous Item,,"Utility, Exploration, Combat",Dungeon Master’s Guide (2014),https://www.dndbeyond.com/magic-items/5344-apparatus-of-kwalish
4572,Apparatus of the Crab,Legendary,Wondrous Item,,"Utility, Exploration, Combat",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4572-apparatus-of-the-crab
2411893,Arcane Grimoire,Varies,Wondrous Item,Required,"Bonus: Spell Attacks, Bonus: Spell Save DC, wizard",Tasha’s Cauldron of Everything,https://www.dndbeyond.com/magic-items/2411893-arcane-grimoire
976932,Arcane Propulsion Arm,Very Rare,Wondrous Item,Required,creature missing a hand or an arm,Eberron: Rising from the Last War,https://www.dndbeyond.com/magic-items/976932-arcane-propulsion-arm
215692,Armblade,Common,Weapon,Required,"Warforged, Damage, Combat, Light, Slow",Wayfinder's Guide to Eberron,https://www.dndbeyond.com/magic-items/215692-armblade
7526586,Armor of Fungal Spores,Uncommon,Armor,,"Damage, Combat",The Book of Many Things,https://www.dndbeyond.com/magic-items/7526586-armor-of-fungal-spores
9228349,Armor of Gleaming,Common,Armor,,,Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/9228349-armor-of-gleaming
36571,Armor of Gleaming,Common,Armor,,Utility,Xanathar's Guide to Everything,https://www.dndbeyond.com/magic-items/36571-armor-of-gleaming
9228350,Armor of Invulnerability,Legendary,Armor,Required,"Resistance: Bludgeoning, Resistance: Piercing, Resistance: Slashing, Str. 15 Required, Stealth Disadvantage",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/9228350-armor-of-invulnerability
4574,Armor of Invulnerability,Legendary,Armor,Required,"Resistance: Bludgeoning, Piercing, and Slashing from Nonmagical Attacks, Immunity: Bludgeoning, Piercing, and Slashing from Nonmagical Weapons, Combat, Warding, Str. 15 Required, Stealth Disadvantage",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4574-armor-of-invulnerability
5371,Armor of Resistance,Rare,Armor,Required,"Resistance: Acid, Resistance: Cold, Resistance: Fire, Resistance: Force, Resistance: Lightning, Resistance: Necrotic, Resistance: Poison, Resistance: Psychic, Resistance: Radiant, Resistance: Thunder, Combat, Warding",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/5371-armor-of-resistance
7102410,Armor of Safeguarding,Very Rare,Armor,Required,,Bigby Presents: Glory of the Giants,https://www.dndbeyond.com/magic-items/7102410-armor-of-safeguarding
7526597,Armor of the Fallen,Uncommon,Armor,Required,"Creation, Communication",The Book of Many Things,https://www.dndbeyond.com/magic-items/7526597-armor-of-the-fallen
5376,Armor of Vulnerability,Rare,Armor,Required,"Resistance: Bludgeoning, Resistance: Piercing, Resistance: Slashing, Vulnerability: Bludgeoning, Vulnerability: Piercing, Vulnerability: Slashing, Combat, Warding, Cursed, Str. 15 Required, Stealth Disadvantage",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/5376-armor-of-vulnerability
7526611,Armor of Weightlessness,Uncommon,Armor,Required,"Movement, Utility, Exploration",The Book of Many Things,https://www.dndbeyond.com/magic-items/7526611-armor-of-weightlessness
5377,"Armor, +1",Rare,Armor,,"Bonus: Armor Class, Combat, Warding",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/5377-armor-1
5378,"Armor, +2",Very Rare,Armor,,"Bonus: Armor Class, Combat, Warding",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/5378-armor-2
5379,"Armor, +3",Legendary,Armor,,"Bonus: Armor Class, Combat, Warding",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/5379-armor-3
4578,Arrow of Slaying,Very Rare,Weapon,,"Damage: Piercing, Damage, Combat, Bane",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4578-arrow-of-slaying
4577,Arrow-Catching Shield,Rare,Armor,Required,"Combat, Warding",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/4577-arrow-catching-shield
2374941,Astral Shard,Rare,Wondrous Item,Required,sorcerer,Tasha’s Cauldron of Everything,https://www.dndbeyond.com/magic-items/2374941-astral-shard
2400685,Astromancy Archive,Rare,Wondrous Item,Required,wizard,Tasha’s Cauldron of Everything,https://www.dndbeyond.com/magic-items/2400685-astromancy-archive
2400706,Atlas of Endless Horizons,Rare,Wondrous Item,Required,wizard,Tasha’s Cauldron of Everything,https://www.dndbeyond.com/magic-items/2400706-atlas-of-endless-horizons
9228353,Axe of the Dwarvish Lords,Artifact,Weapon,Required,"Bonus: Magic, Immunity: Poison, Sense: Darkvision, Proficiency: Brewer's Supplies, Proficiency: Mason's Tools, Proficiency: Smith's Tools, Bonus: Constitution Score, Resistance: Fire, Versatile, Topple",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/9228353-axe-of-the-dwarvish-lords
5422,Axe of the Dwarvish Lords,Artifact,Weapon,Required,"Bonus: Magic, Bonus: Constitution Score, Advantage: Persuasion, Damage: Additional, Sense: Darkvision, Immunity: Poison, Proficiency: Smith's Tools, Proficiency: Brewer's Supplies, Proficiency: Mason's Tools, Damage, Buff, Debuff, Combat, Cursed, Versatile, Topple",Dungeon Master’s Guide (2014),https://www.dndbeyond.com/magic-items/5422-axe-of-the-dwarvish-lords
253562,Azuredge,Legendary,Weapon,Required,"Bonus: Magic, Damage: Radiant, Versatile, Topple",Waterdeep: Dragon Heist,https://www.dndbeyond.com/magic-items/253562-azuredge
9228354,Baba Yaga's Dancing Broom,Uncommon,Wondrous Item,Required,,Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/9228354-baba-yagas-dancing-broom
2400730,Baba Yaga's Mortar and Pestle,Artifact,Wondrous Item,Required,,Tasha’s Cauldron of Everything,https://www.dndbeyond.com/magic-items/2400730-baba-yagas-mortar-and-pestle
253567,Badge of the Watch,Rare,Wondrous Item,Required,"Bonus: Armor Class, someone designated by the Open Lord of Waterdeep",Waterdeep: Dragon Heist,https://www.dndbeyond.com/magic-items/253567-badge-of-the-watch
9228355,Bag of Beans,Rare,Wondrous Item,,,Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/9228355-bag-of-beans
4579,Bag of Beans,Rare,Wondrous Item,,"Damage, Control, Utility, Combat",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4579-bag-of-beans
215714,Bag of Bounty,Uncommon,Wondrous Item,,,Wayfinder's Guide to Eberron,https://www.dndbeyond.com/magic-items/215714-bag-of-bounty
4580,Bag of Devouring,Very Rare,Wondrous Item,,"Control, Utility, Combat, Container",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/4580-bag-of-devouring
9228356,Bag of Holding,Uncommon,Wondrous Item,,,Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/9228356-bag-of-holding
4581,Bag of Holding,Uncommon,Wondrous Item,,"Utility, Container",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4581-bag-of-holding
9228357,Bag of Tricks,Uncommon,Wondrous Item,,,Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/9228357-bag-of-tricks
4582,Bag of Tricks,Uncommon,Wondrous Item,,"Summoning, Utility",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4582-bag-of-tricks
9290,Balance of Harmony,Uncommon,Wondrous Item,,Detection,Tales from the Yawning Portal,https://www.dndbeyond.com/magic-items/9290-balance-of-harmony
7526614,Baleful Talon,Very Rare,Weapon,,"Damage: Necrotic, Bonus: Magic, Damage, Combat, Finesse, Light, Thrown, Nick",The Book of Many Things,https://www.dndbeyond.com/magic-items/7526614-baleful-talon
5578,Balloon Pack,Uncommon,Wondrous Item,,"Movement, Utility, Exploration",Princes of the Apocalypse,https://www.dndbeyond.com/magic-items/5578-balloon-pack
215546,Band of Loyalty,Common,Ring,Required,,Wayfinder's Guide to Eberron,https://www.dndbeyond.com/magic-items/215546-band-of-loyalty
5510,Banner of the Krig Rune,Rare,Wondrous Item,Required,"Immunity: Frightened, Buff, Detection, Combat, Warding",Storm King's Thunder,https://www.dndbeyond.com/magic-items/5510-banner-of-the-krig-rune
2411988,Barrier Tattoo,Varies,Wondrous Item,Required,Set: Unarmored Armor Class,Tasha’s Cauldron of Everything,https://www.dndbeyond.com/magic-items/2411988-barrier-tattoo
843387,Battle Standard of Infernal Power,Very Rare,Wondrous Item,Required,,Baldur’s Gate: Descent into Avernus,https://www.dndbeyond.com/magic-items/843387-battle-standard-of-infernal-power
9180132,Bead of Force,Rare,Wondrous Item,,"Damage: Force, Damage, Consumable",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/9180132-bead-of-force
4583,Bead of Force,Rare,Wondrous Item,,"Damage: Force, Damage, Control, Combat, Consumable",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4583-bead-of-force
27022,Bead of Nourishment,Common,Wondrous Item,,,Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/27022-bead-of-nourishment
27023,Bead of Refreshment,Common,Wondrous Item,,,Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/27023-bead-of-refreshment
984096,Belashyrra's Beholder Crown,Legendary,Wondrous Item,Required,Symbiotic,Eberron: Rising from the Last War,https://www.dndbeyond.com/magic-items/984096-belashyrras-beholder-crown
2401130,Bell Branch,Rare,Wondrous Item,Required,druid or warlock,Tasha’s Cauldron of Everything,https://www.dndbeyond.com/magic-items/2401130-bell-branch
4584,Belt of Dwarvenkind,Rare,Wondrous Item,Required,"Bonus: Constitution Score, Advantage: Persuasion, Advantage: Saving Throws, Resistance: Poison, Set Base: Darkvision, Language: Dwarvish, Buff, Social, Utility, Belt",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/4584-belt-of-dwarvenkind
5372,Belt of Giant Strength,Varies,Wondrous Item,Required,"Set: Strength Score, Buff, Belt",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/5372-belt-of-giant-strength
5382,Berserker Axe,Rare,Weapon,Required,"Bonus: Magic, Bonus: Hit Points per Level, Combat, Cursed, Versatile, Topple",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/5382-berserker-axe
7102411,Bigby's Beneficent Bracelet,Artifact,Wondrous Item,Required,"Jewelry, Wristwear",Bigby Presents: Glory of the Giants,https://www.dndbeyond.com/magic-items/7102411-bigbys-beneficent-bracelet
333407,Black Crystal Tablet,Legendary,Wondrous Item,Required,"creature that has proficiency in the Arcana skill, Teleportation, Control",Waterdeep: Dungeon of the Mad Mage,https://www.dndbeyond.com/magic-items/333407-black-crystal-tablet
5601,Black Dragon Mask,Legendary,Wondrous Item,Required,"Resistance: Acid, Bonus: Unarmored Armor Class, Sense: Darkvision, Sense: Blindsight, Language: Draconic, Advantage: Charisma Ability Checks, Bonus: Legendary Resistance, Buff",Tyranny of Dragons,https://www.dndbeyond.com/magic-items/5601-black-dragon-mask
9228360,Blackrazor,Artifact,Weapon,Required,"Bonus: Magic, Immunity: Charmed, Immunity: Frightened, Sense: Blindsight, Heavy, Two-Handed, Graze",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/9228360-blackrazor
5429,Blackrazor,Legendary,Weapon,Required,"Bonus: Magic, Advantage: Ability Checks, Advantage: Saving Throws, Advantage: Melee Attacks, Advantage: Ranged Attacks, Creature of Non-Lawful Alignment, Damage, Buff, Combat, Bane, Sentient, Heavy, Two-Handed, Graze",Dungeon Master’s Guide (2014),https://www.dndbeyond.com/magic-items/5429-blackrazor
253576,Blackstaff,Legendary,Staff,Required,"Damage: Force, Bonus: Saving Throws, Bonus: Armor Class, Bonus: Spell Attacks, Bonus: Magic, Blackstaff heir, who must be a wizard",Waterdeep: Dragon Heist,https://www.dndbeyond.com/magic-items/253576-blackstaff
842440,Blade of Avernus,Artifact,Weapon,Required,"Bonus: Magic, Versatile, Sap",Baldur’s Gate: Descent into Avernus,https://www.dndbeyond.com/magic-items/842440-blade-of-avernus
351877,Blade of the Medusa,Very Rare,Weapon,Required,,Lost Laboratory of Kwalish,https://www.dndbeyond.com/magic-items/351877-blade-of-the-medusa
333395,Blast Scepter,Very Rare,Rod,Required,"Resistance: Fire, Resistance: Lightning, Damage, Combat",Waterdeep: Dungeon of the Mad Mage,https://www.dndbeyond.com/magic-items/333395-blast-scepter
7526616,Blasted Goggles,Uncommon,Wondrous Item,Required,"Damage: Fire, Damage, Combat, Cursed",The Book of Many Things,https://www.dndbeyond.com/magic-items/7526616-blasted-goggles
5511,Blod Stone,Rare,Wondrous Item,Required,Detection,Storm King's Thunder,https://www.dndbeyond.com/magic-items/5511-blod-stone
2401145,Blood Fury Tattoo,Legendary,Wondrous Item,Required,Damage: Necrotic,Tasha’s Cauldron of Everything,https://www.dndbeyond.com/magic-items/2401145-blood-fury-tattoo
1144990,Blood of the Lycanthrope Antidote,Uncommon,Potion,,Consumable,Infernal Machine Rebuild,https://www.dndbeyond.com/magic-items/1144990-blood-of-the-lycanthrope-antidote
5527,Blood Spear,Uncommon,Weapon,Required,"Bonus: Temporary Hit Points, Bonus: Magic, Damage, Buff, Combat, Thrown, Versatile, Sap",Curse of Strahd,https://www.dndbeyond.com/magic-items/5527-blood-spear
7526617,Bloodrage Greataxe,Uncommon,Weapon,,"Bonus: Magic, Damage, Combat, Heavy, Two-Handed, Cleave",The Book of Many Things,https://www.dndbeyond.com/magic-items/7526617-bloodrage-greataxe
7526618,Bloodseeker Ammunition,Very Rare,Weapon,,"Damage, Combat",The Book of Many Things,https://www.dndbeyond.com/magic-items/7526618-bloodseeker-ammunition
7102412,Bloodshed Blade,Very Rare,Weapon,Required,Damage: Additional,Bigby Presents: Glory of the Giants,https://www.dndbeyond.com/magic-items/7102412-bloodshed-blade
2412091,Bloodwell Vial,Varies,Wondrous Item,Required,"Bonus: Spell Attacks, Bonus: Spell Save DC, sorcerer",Tasha’s Cauldron of Everything,https://www.dndbeyond.com/magic-items/2412091-bloodwell-vial
13575,Blue Dragon Mask,Legendary,Wondrous Item,Required,"Resistance: Lightning, Bonus: Unarmored Armor Class, Sense: Darkvision, Sense: Blindsight, Language: Draconic, Advantage: Charisma Ability Checks, Bonus: Legendary Resistance",Tyranny of Dragons,https://www.dndbeyond.com/magic-items/13575-blue-dragon-mask
3895563,Bobbing Lily Pad,Very Rare,Wondrous Item,Required,,The Wild Beyond the Witchlight,https://www.dndbeyond.com/magic-items/3895563-bobbing-lily-pad
883354,Bonecounter,Rare,Weapon,,"Bonus: Magic, Sap",Sleeping Dragon’s Wake,https://www.dndbeyond.com/magic-items/883354-bonecounter
9228363,Book of Exalted Deeds,Artifact,Wondrous Item,Required,"Immunity: Charmed, Immunity: Frightened, Resistance: Psychic, Bonus: Wisdom Score, Damage: Radiant",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/9228363-book-of-exalted-deeds
5423,Book of Exalted Deeds,Artifact,Wondrous Item,Required,"Bonus: Wisdom Score, Bonus: Ability Score Maximum, Spell Slot Increase: Cleric, Spell Slot Increase: Paladin, Advantage: Persuasion, Advantage: Intimidation, creature of good alignment, Damage, Buff, Utility",Dungeon Master’s Guide (2014),https://www.dndbeyond.com/magic-items/5423-book-of-exalted-deeds
9228364,Book of Vile Darkness,Artifact,Wondrous Item,Required,"Immunity: Exhaustion, Advantage: Intelligence Ability Checks, Damage: Psychic",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/9228364-book-of-vile-darkness
5424,Book of Vile Darkness,Artifact,Wondrous Item,Required,"Advantage: Persuasion, Advantage: Intimidation, Expertise: Intelligence Ability Checks, Damage, Control, Buff, Debuff, Utility, Combat, Cursed",Dungeon Master’s Guide (2014),https://www.dndbeyond.com/magic-items/5424-book-of-vile-darkness
6256176,Book of Vile Darkness (Variant),Artifact,Wondrous Item,Required,"Advantage: Persuasion, Advantage: Intimidation, Expertise: Intelligence Ability Checks, Immunity: Charmed, Immunity: Frightened, Damage, Control, Buff, Debuff, Utility, Combat, Cursed",Keys from the Golden Vault,https://www.dndbeyond.com/magic-items/6256176-book-of-vile-darkness-variant
21716,Bookmark,Legendary,Weapon,Required,"Bonus: Magic, Damage, Control, Movement, Utility, Exploration, Combat, Finesse, Light, Thrown, Nick",Tomb of Annihilation,https://www.dndbeyond.com/magic-items/21716-bookmark
7526627,Boomerang Shield,Uncommon,Armor,Required,"Damage: Slashing, Damage, Combat, Warding",The Book of Many Things,https://www.dndbeyond.com/magic-items/7526627-boomerang-shield
535335,"Boomerang, +1",Uncommon,Weapon,,"Bonus: Magic, Damage, Combat, Range",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/535335-boomerang-1
535336,"Boomerang, +2",Rare,Weapon,,"Bonus: Magic, Damage, Combat, Range",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/535336-boomerang-2
535339,"Boomerang, +3",Very Rare,Weapon,,"Bonus: Magic, Damage, Combat, Range",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/535339-boomerang-3
4587,Boots of Elvenkind,Uncommon,Wondrous Item,,"Advantage: Stealth, Movement, Utility, Deception, Footwear",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/4587-boots-of-elvenkind
27025,Boots of False Tracks,Common,Wondrous Item,,Movement,Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/27025-boots-of-false-tracks
4588,Boots of Levitation,Rare,Wondrous Item,Required,"Movement, Utility, Footwear",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/4588-boots-of-levitation
4589,Boots of Speed,Rare,Wondrous Item,Required,"Bonus: Speed, Buff, Movement, Utility, Footwear",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/4589-boots-of-speed
9228365,Boots of Striding and Springing,Uncommon,Wondrous Item,Required,"Set: Innate Speed (Walking), Ignore: Heavy Armor Speed Reduction",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/9228365-boots-of-striding-and-springing
4590,Boots of Striding and Springing,Uncommon,Wondrous Item,Required,"Set: Innate Speed (Walking), Speed Reduction: Remove, Buff, Movement, Utility, Footwear",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4590-boots-of-striding-and-springing
4591,Boots of the Winterlands,Uncommon,Wondrous Item,Required,"Resistance: Cold, Buff, Utility, Warding, Footwear",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/4591-boots-of-the-winterlands
4239816,Bottle of Boundless Coffee,Common,Wondrous Item,,,Strixhaven: A Curriculum of Chaos,https://www.dndbeyond.com/magic-items/4239816-bottle-of-boundless-coffee
5579,Bottled Breath,Uncommon,Potion,,"Control, Utility",Princes of the Apocalypse,https://www.dndbeyond.com/magic-items/5579-bottled-breath
7526628,Bow of Conflagration,Rare,Weapon,Required,"Damage: Fire, Damage, Combat",The Book of Many Things,https://www.dndbeyond.com/magic-items/7526628-bow-of-conflagration
7526629,Bow of Melodies,Very Rare,Weapon,Required,"Bonus: Magic, Damage: Thunder, Damage, Combat",The Book of Many Things,https://www.dndbeyond.com/magic-items/7526629-bow-of-melodies
9228366,Bowl of Commanding Water Elementals,Rare,Wondrous Item,,,Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/9228366-bowl-of-commanding-water-elementals
4592,Bowl of Commanding Water Elementals,Rare,Wondrous Item,,Summoning,Basic Rules (2014),https://www.dndbeyond.com/magic-items/4592-bowl-of-commanding-water-elementals
9291,Bracelet of Rock Magic,Very Rare,Wondrous Item,Required,"Buff, Warding, Cursed, Wristwear",Tales from the Yawning Portal,https://www.dndbeyond.com/magic-items/9291-bracelet-of-rock-magic
253604,Bracer of Flying Daggers,Rare,Wondrous Item,Required,Wristwear,Waterdeep: Dragon Heist,https://www.dndbeyond.com/magic-items/253604-bracer-of-flying-daggers
4593,Bracers of Archery,Uncommon,Wondrous Item,Required,"Proficiency: Longbow, Proficiency: Shortbow, Damage: Shortbow, Damage: Longbow, Damage, Buff, Combat, Wristwear",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/4593-bracers-of-archery
7247067,Bracers of Celerity,Rare,Wondrous Item,Required,"Bonus: Speed, Advantage: Saving Throws, Movement, Wristwear",Phandelver and Below: The Shattered Obelisk,https://www.dndbeyond.com/magic-items/7247067-bracers-of-celerity
4594,Bracers of Defense,Rare,Wondrous Item,Required,"Bonus: Unarmored Armor Class, Warding, Wristwear",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/4594-bracers-of-defense
9228367,Brazier of Commanding Fire Elementals,Rare,Wondrous Item,,,Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/9228367-brazier-of-commanding-fire-elementals
4595,Brazier of Commanding Fire Elementals,Rare,Wondrous Item,,Summoning,Basic Rules (2014),https://www.dndbeyond.com/magic-items/4595-brazier-of-commanding-fire-elementals
7526630,Breastplate of Balance,Rare,Armor,Required,"Healing, Control, Combat",The Book of Many Things,https://www.dndbeyond.com/magic-items/7526630-breastplate-of-balance
1145000,Bridle of Capturing,Rare,Wondrous Item,,,Infernal Machine Rebuild,https://www.dndbeyond.com/magic-items/1145000-bridle-of-capturing
4596,Brooch of Shielding,Uncommon,Wondrous Item,Required,"Resistance: Force, Warding, Jewelry",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/4596-brooch-of-shielding
9228372,Broom of Flying,Uncommon,Wondrous Item,Required,"Set: Innate Speed (Flying), Speed Reduction: Impose",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/9228372-broom-of-flying
4597,Broom of Flying,Uncommon,Wondrous Item,,"Set: Speed (Flying), Movement, Utility, Exploration",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4597-broom-of-flying
9228374,Candle of Invocation,Very Rare,Wondrous Item,Required,,Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/9228374-candle-of-invocation
4598,Candle of Invocation,Very Rare,Wondrous Item,Required,"Advantage: Ability Checks, Advantage: Saving Throws, Advantage: Melee Attacks, Advantage: Ranged Attacks, Advantage: Spell Attacks, Buff, Consumable",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4598-candle-of-invocation
27026,Candle of the Deep,Common,Wondrous Item,,,Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/27026-candle-of-the-deep
9228375,Cap of Water Breathing,Uncommon,Wondrous Item,,,Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/9228375-cap-of-water-breathing
5345,Cap of Water Breathing,Uncommon,Wondrous Item,,"Utility, Exploration",Dungeon Master’s Guide (2014),https://www.dndbeyond.com/magic-items/5345-cap-of-water-breathing
7247068,Cape of Enlargement,Very Rare,Wondrous Item,Required,"Damage, Buff, Combat, Outerwear",Phandelver and Below: The Shattered Obelisk,https://www.dndbeyond.com/magic-items/7247068-cape-of-enlargement
9228376,Cape of the Mountebank,Rare,Wondrous Item,,,Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/9228376-cape-of-the-mountebank
4599,Cape of the Mountebank,Rare,Wondrous Item,,"Teleportation, Exploration, Outerwear",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4599-cape-of-the-mountebank
