ID,NAME,SLUG,NAME_LOWER,RARITY,TYPE,ATTUNEMENT,NOTES,SOURCE,URL,SOURCE_SHORT
4581,Bag of Holding,bag-of-holding,bag of holding,Uncommon,Wondrous Item,,"Utility, Container",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4581-bag-of-holding,xdmg
4582,Bag of Tricks,bag-of-tricks,bag of tricks,Uncommon,Wondrous Item,,"Summoning, Utility",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4582-bag-of-tricks,xdmg
4583,Bead of Force,bead-of-force,bead of force,Rare,Wondrous Item,,"Damage: Force, Damage, Control, Combat, Consumable",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4583-bead-of-force,xdmg
4584,Belt of Dwarvenkind,belt-of-dwarvenkind,belt of dwarvenkind,Rare,Wondrous Item,Required,"Bonus: Constitution Score, Advantage: Persuasion, Advantage: Saving Throws, Resistance: Poison, Set Base: Darkvision, Language: Dwarvish, Buff, Social, Utility, Belt",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/4584-belt-of-dwarvenkind,xdmg
4587,Boots of Elvenkind,boots-of-elvenkind,boots of elvenkind,Uncommon,Wondrous Item,,"Advantage: Stealth, Movement, Utility, Deception, Footwear",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/4587-boots-of-elvenkind,xdmg
4588,Boots of Levitation,boots-of-levitation,boots of levitation,Rare,Wondrous Item,Required,"Movement, Utility, Footwear",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/4588-boots-of-levitation,xdmg
4589,Boots of Speed,boots-of-speed,boots of speed,Rare,Wondrous Item,Required,"Bonus: Speed, Buff, Movement, Utility, Footwear",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/4589-boots-of-speed,xdmg
4590,Boots of Striding and Springing,boots-of-striding-and-springing,boots of striding and springing,Uncommon,Wondrous Item,Required,"Set: Innate Speed (Walking), Speed Reduction: Remove, Buff, Movement, Utility, Footwear",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4590-boots-of-striding-and-springing,xdmg
4591,Boots of the Winterlands,boots-of-the-winterlands,boots of the winterlands,Uncommon,Wondrous Item,Required,"Resistance: Cold, Buff, Utility, Warding, Footwear",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/4591-boots-of-the-winterlands,xdmg
4592,Bowl of Commanding Water Elementals,bowl-of-commanding-water-elementals,bowl of commanding water elementals,Rare,Wondrous Item,,Summoning,Basic Rules (2014),https://www.dndbeyond.com/magic-items/4592-bowl-of-commanding-water-elementals,xdmg
4593,Bracers of Archery,bracers-of-archery,bracers of archery,Uncommon,Wondrous Item,Required,"Proficiency: Longbow, Proficiency: Shortbow, Damage: Shortbow, Damage: Longbow, Damage, Buff, Combat, Wristwear",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/4593-bracers-of-archery,xdmg
4594,Bracers of Defense,bracers-of-defense,bracers of defense,Rare,Wondrous Item,Required,"Bonus: Unarmored Armor Class, Warding, Wristwear",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/4594-bracers-of-defense,xdmg
4595,Brazier of Commanding Fire Elementals,brazier-of-commanding-fire-elementals,brazier of commanding fire elementals,Rare,Wondrous Item,,Summoning,Basic Rules (2014),https://www.dndbeyond.com/magic-items/4595-brazier-of-commanding-fire-elementals,xdmg
4596,Brooch of Shielding,brooch-of-shielding,brooch of shielding,Uncommon,Wondrous Item,Required,"Resistance: Force, Warding, Jewelry",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/4596-brooch-of-shielding,xdmg
4597,Broom of Flying,broom-of-flying,broom of flying,Uncommon,Wondrous Item,,"Set: Speed (Flying), Movement, Utility, Exploration",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4597-broom-of-flying,xdmg
4598,Candle of Invocation,candle-of-invocation,candle of invocation,Very Rare,Wondrous Item,Required,"Advantage: Ability Checks, Advantage: Saving Throws, Advantage: Melee Attacks, Advantage: Ranged Attacks, Advantage: Spell Attacks, Buff, Consumable",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4598-candle-of-invocation,xdmg
4599,Cape of the Mountebank,cape-of-the-mountebank,cape of the mountebank,Rare,Wondrous Item,,"Teleportation, Exploration, Outerwear",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4599-cape-of-the-mountebank,xdmg
4601,Censer of Controlling Air Elementals,censer-of-controlling-air-elementals,censer of controlling air elementals,Rare,Wondrous Item,,Summoning,Basic Rules (2014),https://www.dndbeyond.com/magic-items/4601-censer-of-controlling-air-elementals,xdmg
4602,Chime of Opening,chime-of-opening,chime of opening,Rare,Wondrous Item,,"Utility, Exploration, Consumable",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4602-chime-of-opening,xdmg
4603,Circlet of Blasting,circlet-of-blasting,circlet of blasting,Uncommon,Wondrous Item,,"Damage, Combat, Headwear",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/4603-circlet-of-blasting,xdmg
4604,Cloak of Arachnida,cloak-of-arachnida,cloak of arachnida,Very Rare,Wondrous Item,Required,"Resistance: Poison, Set: Innate Speed (Climbing), Control, Buff, Movement, Warding, Outerwear",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/4604-cloak-of-arachnida,xdmg
4605,Cloak of Displacement,cloak-of-displacement,cloak of displacement,Rare,Wondrous Item,Required,"Disadvantage: Attack Rolls Against You, Deception, Warding, Outerwear",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4605-cloak-of-displacement,xdmg
4606,Cloak of Elvenkind,cloak-of-elvenkind,cloak of elvenkind,Uncommon,Wondrous Item,Required,"Advantage: Stealth, Deception, Outerwear",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4606-cloak-of-elvenkind,xdmg
4607,Cloak of Protection,cloak-of-protection,cloak of protection,Uncommon,Wondrous Item,Required,"Bonus: Armor Class, Bonus: Saving Throws, Warding, Outerwear",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/4607-cloak-of-protection,xdmg
4608,Cloak of the Bat,cloak-of-the-bat,cloak of the bat,Rare,Wondrous Item,Required,"Advantage: Stealth, Set: Innate Speed (Flying), Movement, Shapechanging, Deception, Outerwear",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/4608-cloak-of-the-bat,xdmg
4609,Cloak of the Manta Ray,cloak-of-the-manta-ray,cloak of the manta ray,Uncommon,Wondrous Item,,"Set: Innate Speed (Swimming), Buff, Movement, Outerwear",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4609-cloak-of-the-manta-ray,xdmg
4610,Crystal Ball,crystal-ball,crystal ball,Very Rare,Wondrous Item,Required,"Scrying, Detection",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/4610-crystal-ball,xdmg
4611,Cube of Force,cube-of-force,cube of force,Rare,Wondrous Item,Required,"Control, Warding",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4611-cube-of-force,xdmg
4612,Cubic Gate,cubic-gate,cubic gate,Legendary,Wondrous Item,,"Teleportation, Exploration",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4612-cubic-gate,xdmg
4613,Dagger of Venom,dagger-of-venom,dagger of venom,Rare,Weapon,,"Damage: Poison, Bonus: Magic, Poisoned, Damage, Debuff, Combat, Finesse, Light, Thrown, Nick",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4613-dagger-of-venom,xdmg
4615,Decanter of Endless Water,decanter-of-endless-water,decanter of endless water,Uncommon,Wondrous Item,,"Creation, Utility",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4615-decanter-of-endless-water,xdmg
4616,Deck of Illusions,deck-of-illusions,deck of illusions,Uncommon,Wondrous Item,,"Utility, Deception, Consumable",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4616-deck-of-illusions,xdmg
4617,Deck of Many Things,deck-of-many-things,deck of many things,Legendary,Wondrous Item,,"Utility, Consumable",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4617-deck-of-many-things,xdmg
4619,Demon Armor,demon-armor,demon armor,Very Rare,Armor,Required,"Bonus: Armor Class, Language: Abyssal, Damage, Combat, Warding, Cursed, Str. 15 Required, Stealth Disadvantage",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4619-demon-armor,xdmg
4620,Dimensional Shackles,dimensional-shackles,dimensional shackles,Rare,Wondrous Item,,"Control, Utility",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4620-dimensional-shackles,xdmg
4623,Dust of Disappearance,dust-of-disappearance,dust of disappearance,Uncommon,Wondrous Item,,"Invisible, Utility, Deception, Consumable",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4623-dust-of-disappearance,xdmg
4624,Dust of Dryness,dust-of-dryness,dust of dryness,Uncommon,Wondrous Item,,"Damage: Necrotic, Damage, Control, Combat, Consumable",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4624-dust-of-dryness,xdmg
4625,Dust of Sneezing and Choking,dust-of-sneezing-and-choking,dust of sneezing and choking,Uncommon,Wondrous Item,,"Incapacitated, Control, Debuff",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4625-dust-of-sneezing-and-choking,xdmg
4626,Dwarven Plate,dwarven-plate,dwarven plate,Very Rare,Armor,,"Bonus: Armor Class, Control, Combat, Warding, Str. 15 Required, Stealth Disadvantage",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4626-dwarven-plate,xdmg
4627,Dwarven Thrower,dwarven-thrower,dwarven thrower,Very Rare,Weapon,Required,"Bonus: Magic, Damage: Additional, Damage: Additional, Dwarf or a Creature Attuned to a Belt of Dwarvenkind, Damage, Combat, Versatile, Push",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/4627-dwarven-thrower,xdmg
4628,Efficient Quiver,efficient-quiver,efficient quiver,Uncommon,Wondrous Item,,"Utility, Container",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4628-efficient-quiver,xdmg
4629,Efreeti Bottle,efreeti-bottle,efreeti bottle,Very Rare,Wondrous Item,,"Control, Utility, Consumable",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4629-efreeti-bottle,xdmg
4631,Elven Chain,elven-chain,elven chain,Rare,Armor,,"Bonus: Armor Class, Proficiency: Self, Combat, Warding",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4631-elven-chain,xdmg
4632,Eversmoking Bottle,eversmoking-bottle,eversmoking bottle,Uncommon,Wondrous Item,,"Control, Utility, Deception",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4632-eversmoking-bottle,xdmg
4633,Eyes of Charming,eyes-of-charming,eyes of charming,Uncommon,Wondrous Item,Required,"Control, Social, Eyewear",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4633-eyes-of-charming,xdmg
4634,Eyes of Minute Seeing,eyes-of-minute-seeing,eyes of minute seeing,Uncommon,Wondrous Item,,"Advantage: Investigation, Detection, Utility, Eyewear",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4634-eyes-of-minute-seeing,xdmg
4635,Eyes of the Eagle,eyes-of-the-eagle,eyes of the eagle,Uncommon,Wondrous Item,Required,"Advantage: Perception, Detection, Utility, Eyewear",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4635-eyes-of-the-eagle,xdmg
4639,Folding Boat,folding-boat,folding boat,Rare,Wondrous Item,,"Movement, Utility, Exploration",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4639-folding-boat,xdmg
4641,Gauntlets of Ogre Power,gauntlets-of-ogre-power,gauntlets of ogre power,Uncommon,Wondrous Item,Required,"Set: Strength Score, Buff, Handwear",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/4641-gauntlets-of-ogre-power,xdmg
4642,Gem of Brightness,gem-of-brightness,gem of brightness,Uncommon,Wondrous Item,,"Blinded, Control, Debuff",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4642-gem-of-brightness,xdmg
4643,Gem of Seeing,gem-of-seeing,gem of seeing,Rare,Wondrous Item,Required,"Sense: Truesight, Detection",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4643-gem-of-seeing,xdmg
4645,Glamoured Studded Leather,glamoured-studded-leather,glamoured studded leather,Rare,Armor,,"Bonus: Armor Class, Utility, Combat, Deception, Warding",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/4645-glamoured-studded-leather,xdmg
4646,Gloves of Missile Snaring,gloves-of-missile-snaring,gloves of missile snaring,Uncommon,Wondrous Item,Required,"Warding, Handwear",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4646-gloves-of-missile-snaring,xdmg
4647,Gloves of Swimming and Climbing,gloves-of-swimming-and-climbing,gloves of swimming and climbing,Uncommon,Wondrous Item,Required,"Buff, Movement, Exploration",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/4647-gloves-of-swimming-and-climbing,xdmg
4648,Goggles of Night,goggles-of-night,goggles of night,Uncommon,Wondrous Item,,"Sense: Darkvision, Detection, Eyewear",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/4648-goggles-of-night,xdmg
4649,Hammer of Thunderbolts,hammer-of-thunderbolts,hammer of thunderbolts,Legendary,Weapon,Required,"Stacking Bonus: Strength Score, Bonus: Magic, Bonus: Ability Score Maximum, Damage, Buff, Combat, Heavy, Two-Handed, Topple",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4649-hammer-of-thunderbolts,xdmg
4650,Handy Haversack,handy-haversack,handy haversack,Rare,Wondrous Item,,"Utility, Container",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4650-handy-haversack,xdmg
4651,Hat of Disguise,hat-of-disguise,hat of disguise,Uncommon,Wondrous Item,Required,"Deception, Headwear",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/4651-hat-of-disguise,xdmg
4652,Headband of Intellect,headband-of-intellect,headband of intellect,Uncommon,Wondrous Item,Required,"Set: Intelligence Score, Buff, Headwear",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/4652-headband-of-intellect,xdmg
4653,Helm of Brilliance,helm-of-brilliance,helm of brilliance,Very Rare,Wondrous Item,Required,"Resistance: Fire, Damage, Detection, Combat, Warding, Headwear",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4653-helm-of-brilliance,xdmg
4654,Helm of Comprehending Languages,helm-of-comprehending-languages,helm of comprehending languages,Uncommon,Wondrous Item,,"Communication, Headwear",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/4654-helm-of-comprehending-languages,xdmg
4655,Helm of Telepathy,helm-of-telepathy,helm of telepathy,Uncommon,Wondrous Item,Required,"Communication, Detection, Headwear",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4655-helm-of-telepathy,xdmg
4656,Helm of Teleportation,helm-of-teleportation,helm of teleportation,Rare,Wondrous Item,Required,"Teleportation, Headwear",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/4656-helm-of-teleportation,xdmg
4658,Horn of Blasting,horn-of-blasting,horn of blasting,Rare,Wondrous Item,,"Damage: Thunder, Deafened, Damage, Debuff, Combat",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4658-horn-of-blasting,xdmg
4660,Horseshoes of a Zephyr,horseshoes-of-a-zephyr,horseshoes of a zephyr,Very Rare,Wondrous Item,,"Movement, Exploration",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4660-horseshoes-of-a-zephyr,xdmg
4661,Horseshoes of Speed,horseshoes-of-speed,horseshoes of speed,Rare,Wondrous Item,,"Buff, Movement, Exploration",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4661-horseshoes-of-speed,xdmg
4662,Immovable Rod,immovable-rod,immovable rod,Uncommon,Rod,,Utility,Basic Rules (2014),https://www.dndbeyond.com/magic-items/4662-immovable-rod,xdmg
4663,Instant Fortress,instant-fortress,instant fortress,Rare,Wondrous Item,,"Utility, Warding",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4663-instant-fortress,xdmg
4665,Iron Bands of Binding,iron-bands-of-binding,iron bands of binding,Rare,Wondrous Item,,"Control, Utility",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4665-iron-bands-of-binding,xdmg
4666,Iron Flask,iron-flask,iron flask,Legendary,Wondrous Item,,Control,Basic Rules (2014),https://www.dndbeyond.com/magic-items/4666-iron-flask,xdmg
4667,Javelin of Lightning,javelin-of-lightning,javelin of lightning,Uncommon,Weapon,,"Damage: Lightning, Damage, Combat, Thrown, Slow",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4667-javelin-of-lightning,xdmg
4668,Lantern of Revealing,lantern-of-revealing,lantern of revealing,Uncommon,Wondrous Item,,Detection,Basic Rules (2014),https://www.dndbeyond.com/magic-items/4668-lantern-of-revealing,xdmg
4670,Mace of Disruption,mace-of-disruption,mace of disruption,Rare,Weapon,Required,"Damage: Radiant, Damage, Bane, Sap",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/4670-mace-of-disruption,xdmg
4671,Mace of Smiting,mace-of-smiting,mace of smiting,Rare,Weapon,,"Bonus: Magic, Damage, Combat, Bane, Sap",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/4671-mace-of-smiting,xdmg
4672,Mace of Terror,mace-of-terror,mace of terror,Rare,Weapon,Required,"Frightened, Damage, Control, Debuff, Combat, Sap",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4672-mace-of-terror,xdmg
4673,Mantle of Spell Resistance,mantle-of-spell-resistance,mantle of spell resistance,Rare,Wondrous Item,Required,"Advantage: Saving Throws, Warding, Outerwear",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/4673-mantle-of-spell-resistance,xdmg
4674,Manual of Bodily Health,manual-of-bodily-health,manual of bodily health,Very Rare,Wondrous Item,,"Bonus: Constitution Score, Bonus: Ability Score Maximum, Buff",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/4674-manual-of-bodily-health,xdmg
4675,Manual of Gainful Exercise,manual-of-gainful-exercise,manual of gainful exercise,Very Rare,Wondrous Item,,"Bonus: Strength Score, Bonus: Ability Score Maximum, Buff",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/4675-manual-of-gainful-exercise,xdmg
4677,Manual of Quickness of Action,manual-of-quickness-of-action,manual of quickness of action,Very Rare,Wondrous Item,,"Bonus: Dexterity Score, Bonus: Ability Score Maximum, Buff",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/4677-manual-of-quickness-of-action,xdmg
4678,Marvelous Pigments,marvelous-pigments,marvelous pigments,Very Rare,Wondrous Item,,"Utility, Consumable",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4678-marvelous-pigments,xdmg
4679,Medallion of Thoughts,medallion-of-thoughts,medallion of thoughts,Uncommon,Wondrous Item,Required,"Social, Detection",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4679-medallion-of-thoughts,xdmg
4680,Mirror of Life Trapping,mirror-of-life-trapping,mirror of life trapping,Very Rare,Wondrous Item,,"Control, Utility",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4680-mirror-of-life-trapping,xdmg
4682,Necklace of Adaptation,necklace-of-adaptation,necklace of adaptation,Uncommon,Wondrous Item,Required,"Advantage: Saving Throws, Buff, Warding, Jewelry",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/4682-necklace-of-adaptation,xdmg
4683,Necklace of Fireballs,necklace-of-fireballs,necklace of fireballs,Rare,Wondrous Item,,"Damage, Combat, Jewelry",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4683-necklace-of-fireballs,xdmg
4684,Necklace of Prayer Beads,necklace-of-prayer-beads,necklace of prayer beads,Rare,Wondrous Item,Required,"Cleric, Druid, or Paladin, Healing, Summoning, Damage, Buff, Movement, Jewelry",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4684-necklace-of-prayer-beads,xdmg
4686,Oathbow,oathbow,oathbow,Very Rare,Weapon,Required,"Damage: Piercing, Damage, Combat, Bane, Ammunition, Heavy, Range, Two-Handed, Slow",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4686-oathbow,xdmg
4687,Oil of Etherealness,oil-of-etherealness,oil of etherealness,Rare,Potion,,"Movement, Utility, Consumable",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/4687-oil-of-etherealness,xdmg
4688,Oil of Sharpness,oil-of-sharpness,oil of sharpness,Very Rare,Potion,,"Bonus: Magic, Damage, Buff, Combat, Consumable",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4688-oil-of-sharpness,xdmg
4689,Oil of Slipperiness,oil-of-slipperiness,oil of slipperiness,Uncommon,Potion,,"Control, Movement, Utility, Consumable",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4689-oil-of-slipperiness,xdmg
4690,Orb of Dragonkind,orb-of-dragonkind,orb of dragonkind,Artifact,Wondrous Item,Required,"Healing, Summoning, Control, Scrying, Detection",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4690-orb-of-dragonkind,xdmg
4691,Pearl of Power,pearl-of-power,pearl of power,Uncommon,Wondrous Item,Required,"Spellcaster, Buff, Utility",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4691-pearl-of-power,xdmg
4692,Periapt of Health,periapt-of-health,periapt of health,Uncommon,Wondrous Item,,"Immunity: Disease, Immunity: Disease, Warding, Jewelry",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4692-periapt-of-health,xdmg
4693,Periapt of Proof against Poison,periapt-of-proof-against-poison,periapt of proof against poison,Rare,Wondrous Item,,"Immunity: Poison, Immunity: Poisoned, Warding, Jewelry",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4693-periapt-of-proof-against-poison,xdmg
4694,Periapt of Wound Closure,periapt-of-wound-closure,periapt of wound closure,Uncommon,Wondrous Item,Required,"Healing, Warding, Jewelry",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4694-periapt-of-wound-closure,xdmg
4695,Philter of Love,philter-of-love,philter of love,Uncommon,Potion,,"Charmed, Control, Consumable",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4695-philter-of-love,xdmg
4696,Pipes of Haunting,pipes-of-haunting,pipes of haunting,Uncommon,Wondrous Item,,"Frightened, Control, Instrument",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4696-pipes-of-haunting,xdmg
4697,Pipes of the Sewers,pipes-of-the-sewers,pipes of the sewers,Uncommon,Wondrous Item,Required,"Summoning, Control, Instrument",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4697-pipes-of-the-sewers,xdmg
4698,Plate Armor of Etherealness,plate-armor-of-etherealness,plate armor of etherealness,Legendary,Armor,Required,"Utility, Combat, Warding, Str. 15 Required, Stealth Disadvantage",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4698-plate-armor-of-etherealness,xdmg
4699,Portable Hole,portable-hole,portable hole,Rare,Wondrous Item,,"Utility, Container",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4699-portable-hole,xdmg
4700,Potion of Animal Friendship,potion-of-animal-friendship,potion of animal friendship,Uncommon,Potion,,"Control, Communication, Consumable",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4700-potion-of-animal-friendship,xdmg
4701,Potion of Clairvoyance,potion-of-clairvoyance,potion of clairvoyance,Rare,Potion,,"Scrying, Detection, Consumable",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/4701-potion-of-clairvoyance,xdmg
4702,Potion of Climbing,potion-of-climbing,potion of climbing,Common,Potion,,"Set: Innate Speed (Climbing), Advantage: Athletics, Buff, Movement, Consumable",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/4702-potion-of-climbing,xdmg
4703,Potion of Diminution,potion-of-diminution,potion of diminution,Rare,Potion,,"Control, Utility, Consumable",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/4703-potion-of-diminution,xdmg
4704,Potion of Flying,potion-of-flying,potion of flying,Very Rare,Potion,,"Set: Innate Speed (Flying), Movement, Utility, Consumable",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/4704-potion-of-flying,xdmg
4705,Potion of Gaseous Form,potion-of-gaseous-form,potion of gaseous form,Rare,Potion,,"Movement, Utility, Warding, Consumable",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/4705-potion-of-gaseous-form,xdmg
4707,Potion of Growth,potion-of-growth,potion of growth,Uncommon,Potion,,"Control, Utility, Consumable",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4707-potion-of-growth,xdmg
4708,Potions of Healing,potions-of-healing,potions of healing,Varies,Potion,,"Bonus: Hit Points, Healing, Consumable",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/4708-potions-of-healing,xdmg
4709,Potion of Heroism,potion-of-heroism,potion of heroism,Rare,Potion,,"Bonus: Temporary Hit Points, Healing, Buff, Consumable",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/4709-potion-of-heroism,xdmg
4710,Potion of Invisibility,potion-of-invisibility,potion of invisibility,Very Rare,Potion,,"Invisible, Deception, Consumable",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4710-potion-of-invisibility,xdmg
4711,Potion of Mind Reading,potion-of-mind-reading,potion of mind reading,Rare,Potion,,"Control, Detection, Consumable",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4711-potion-of-mind-reading,xdmg
