ID,NAME,NAME_LOWER,LEVEL,CASTING_TIME,RANGE,AREA,AREA_SHAPE,COMPONENTS,MATERIAL_COMPONENTS,DURATION,SCHOOL,ATTACK_SAVE,DAMAGE_EFFECT,CLASSES,SOURCE,URL,SOURCE_SHORT,SLUG
2618831,Arcane Vigor,arcane vigor,2nd,1 Bonus Action,Self,,,"V, S",,Instantaneous,Abjuration,,,[],,https://www.dndbeyond.com/spells/2618831-arcane-vigor,xphb,arcane-vigor
2618870,Armor of Agathys,armor of agathys,1st,1 Bonus Action,Self,,,"V, S, M",,1 Hour,Abjuration,,Cold,[],,https://www.dndbeyond.com/spells/2618870-armor-of-agathys,xphb,armor-of-agathys
2618884,Aura of Life,aura of life,4th,1 Action,Self,30 ft.,emanation,V,,10 Minutes,Abjuration,,Healing (...),"[""CLERIC"", ""PALADIN"", ""LIFE DOMAIN"", ""TWILIGHT DOMAIN (TCOE)"", ""CIRCLE OF WILDFIRE (TCOE)"", ""THE UNDYING (SCAG)"", ""CLERIC (LEGACY)"", ""PALADIN (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2618884-aura-of-life,xphb,aura-of-life
2618888,Aura of Purity,aura of purity,4th,1 Action,Self,30 ft.,emanation,V,,10 Minutes,Abjuration,,Buff (...),[],,https://www.dndbeyond.com/spells/2618888-aura-of-purity,xphb,aura-of-purity
2618891,Aura of Vitality,aura of vitality,3rd,1 Action,Self,30 ft.,emanation,V,,1 Minute,Abjuration,,Healing,[],,https://www.dndbeyond.com/spells/2618891-aura-of-vitality,xphb,aura-of-vitality
2618906,Banishment,banishment,4th,1 Action,30 ft.,,,"V, S, M",a pentacle,1 Minute,Abjuration,CHA Save,Banishment (...),"[""CLERIC"", ""PALADIN"", ""SORCERER"", ""WARLOCK"", ""WIZARD"", ""OATH OF THE CROWN (SCAG)"", ""OATH OF THE WATCHERS (TCOE)"", ""OATH OF VENGEANCE"", ""ILLRIGGER"", ""CLERIC (LEGACY)"", ""PALADIN (LEGACY)"", ""SORCERER (LEGACY)"", ""WARLOCK (LEGACY)"", ""WIZARD (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2618906-banishment,xphb,banishment
2618911,Beacon of Hope,beacon of hope,3rd,1 Action,30 ft.,,,"V, S",,1 Minute,Abjuration,,Buff,"[""CLERIC"", ""PEACE DOMAIN (TCOE)"", ""OATH OF DEVOTION"", ""OATH OF THE HARVEST (HGTMH1)"", ""CLERIC (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2618911-beacon-of-hope,xphb,beacon-of-hope
2618931,Blade Ward,blade ward,Cantrip,1 Action,Self,,,"V, S",,1 Minute,Abjuration,,Combat (...),[],,https://www.dndbeyond.com/spells/2618931-blade-ward,xphb,blade-ward
2618970,Circle of Power,circle of power,5th,1 Action,Self,30 ft.,emanation,V,,10 Minutes,Abjuration,,Buff (...),[],,https://www.dndbeyond.com/spells/2618970-circle-of-power,xphb,circle-of-power
2619053,Contingency,contingency,6th,10 Minutes,Self,,,"V, S, M","a gem-encrusted statuette of yourself worth 1,500+ GP",10 Days,Abjuration,,Utility,"[""WIZARD"", ""WIZARD (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2619053-contingency,xphb,contingency
2619072,Counterspell,counterspell,3rd,1 Reaction *,60 ft.,,,S,,Instantaneous,Abjuration,CON Save,Negation,"[""OATH OF REDEMPTION (XGTE)"", ""OATH OF THE WATCHERS (TCOE)"", ""SORCERER"", ""WARLOCK"", ""WIZARD"", ""OATH OF CASTIGATION"", ""SORCERER (LEGACY)"", ""WARLOCK (LEGACY)"", ""WIZARD (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2619072-counterspell,xphb,counterspell
2619079,Cure Wounds,cure wounds,1st,1 Action,Touch,,,"V, S",,Instantaneous,Abjuration,,Healing,"[""ARTIFICER"", ""CIRCLE OF WILDFIRE (TCOE)"", ""BARD"", ""CLERIC"", ""DRUID"", ""PALADIN"", ""RANGER"", ""LIFE DOMAIN"", ""CELESTIAL PATRON"", ""CRIMSON SORCERY"", ""BARD (LEGACY)"", ""CLERIC (LEGACY)"", ""DRUID (LEGACY)"", ""PALADIN (LEGACY)"", ""RANGER (LEGACY)"", ""THE CELESTIAL (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2619079-cure-wounds,xphb,cure-wounds
2619085,Death Ward,death ward,4th,1 Action,Touch,,,"V, S",,8 Hours,Abjuration,,Buff (...),"[""DEATH DOMAIN (DMG)"", ""THE UNDYING (SCAG)"", ""GRAVE DOMAIN (XGTE)"", ""THE UNDEAD (VRGTR)"", ""CLERIC"", ""PALADIN"", ""LIFE DOMAIN"", ""ILLRIGGER"", ""OATH OF THE HARVEST (HGTMH1)"", ""FUTURE YOU PATRON"", ""CRIMSON SORCERY"", ""CLERIC (LEGACY)"", ""PALADIN (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2619085-death-ward,xphb,death-ward
2619096,Dispel Evil and Good,dispel evil and good,5th,1 Action,Self,,,"V, S, M",powdered silver and iron,1 Minute,Abjuration,CHA Save,Charmed (...),"[""CLERIC"", ""PALADIN"", ""CLERIC (LEGACY)"", ""PALADIN (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2619096-dispel-evil-and-good,xphb,dispel-evil-and-good
2619103,Dispel Magic,dispel magic,3rd,1 Action,120 ft.,,,"V, S",,Instantaneous,Abjuration,,Control,"[""ARCANA DOMAIN (SCAG)"", ""ARTIFICER"", ""BARD"", ""CLERIC"", ""DRUID"", ""PALADIN"", ""RANGER"", ""SORCERER"", ""WARLOCK"", ""WIZARD"", ""OATH OF DEVOTION"", ""CLOCKWORK SORCERY"", ""ILLRIGGER"", ""OATH OF THE SPELLDRINKER"", ""BARD (LEGACY)"", ""CLERIC (LEGACY)"", ""DRUID (LEGACY)"", ""PALADIN (LEGACY)"", ""RANGER (LEGACY)"", ""SORCERER (LEGACY)"", ""WARLOCK (LEGACY)"", ""WIZARD (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2619103-dispel-magic,xphb,dispel-magic
2618913,Forbiddance,forbiddance,6th,10 Minutes,Touch,"40,000 ft.2",,"V, S, M","ruby dust worth 1,000+ GP",1 Day,Abjuration,,Radiant (...),"[""CLERIC"", ""CLERIC (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2618913-forbiddance,xphb,forbiddance
2618921,Freedom of Movement,freedom of movement,4th,1 Action,Touch,,,"V, S, M",a leather strap,1 Hour,Abjuration,,Buff (...),"[""ARTIFICER"", ""BARD"", ""CLERIC"", ""DRUID"", ""RANGER"", ""WAR DOMAIN"", ""OATH OF DEVOTION"", ""OATH OF GLORY"", ""CLOCKWORK SORCERY"", ""THE PREDATOR (HWT)"", ""OATH OF REVELRY"", ""BARD (LEGACY)"", ""CLERIC (LEGACY)"", ""DRUID (LEGACY)"", ""RANGER (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2618921-freedom-of-movement,xphb,freedom-of-movement
2618950,Globe of Invulnerability,globe of invulnerability,6th,1 Action,Self,10 ft.,emanation,"V, S, M",a glass bead,1 Minute,Abjuration,,Negation (...),"[""SORCERER"", ""WIZARD"", ""SORCERER (LEGACY)"", ""WIZARD (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2618950-globe-of-invulnerability,xphb,globe-of-invulnerability
2618951,Glyph of Warding,glyph of warding,3rd,1 Hour,Touch,,,"V, S, M","powdered diamond worth 200+ GP, which the spell consumes",Until Dispelled or Triggered,Abjuration,DEX Save,Acid (...),"[""ARTIFICER"", ""BARD"", ""CLERIC"", ""WIZARD"", ""BARD (LEGACY)"", ""CLERIC (LEGACY)"", ""WIZARD (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2618951-glyph-of-warding,xphb,glyph-of-warding
2618961,Greater Restoration,greater restoration,5th,1 Action,Touch,,,"V, S, M","diamond dust worth 100+ GP, which the spell consumes",Instantaneous,Abjuration,,Exhaustion,"[""ARTIFICER"", ""PEACE DOMAIN (TCOE)"", ""BARD"", ""CLERIC"", ""DRUID"", ""PALADIN"", ""RANGER"", ""LIFE DOMAIN"", ""CLOCKWORK SORCERY"", ""CELESTIAL PATRON"", ""OATH OF THE HARVEST (HGTMH1)"", ""BARD (LEGACY)"", ""CLERIC (LEGACY)"", ""DRUID (LEGACY)"", ""PALADIN (LEGACY)"", ""RANGER (LEGACY)"", ""THE CELESTIAL (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2618961-greater-restoration,xphb,greater-restoration
2618968,Guards and Wards,guards and wards,6th,1 Hour,Touch,"2,500 ft.2",,"V, S, M",a silver rod worth 10+ GP,24 Hours,Abjuration,,Control (...),"[""BARD"", ""WIZARD"", ""BARD (LEGACY)"", ""WIZARD (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2618968-guards-and-wards,xphb,guards-and-wards
2619138,Hallow,hallow,5th,24 Hours,Touch,,,"V, S, M","incense worth 1,000+ GP, which the spell consumes",Until Dispelled,Abjuration,,Buff (...),"[""CLERIC"", ""CLERIC (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2619138-hallow,xphb,hallow
2618979,Heal,heal,6th,1 Action,60 ft.,,,"V, S",,Instantaneous,Abjuration,,Blinded (...),"[""CLERIC"", ""DRUID"", ""CLERIC (LEGACY)"", ""DRUID (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2618979-heal,xphb,heal
2619143,Healing Word,healing word,1st,1 Bonus Action,60 ft.,,,V,,Instantaneous,Abjuration,,Healing,"[""BARD"", ""CLERIC"", ""DRUID"", ""BARD (LEGACY)"", ""CLERIC (LEGACY)"", ""DRUID (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2619143-healing-word,xphb,healing-word
2619155,Holy Aura,holy aura,8th,1 Action,Self,30 ft.,emanation,"V, S, M","a reliquary worth 1,000+ GP",1 Minute,Abjuration,CON Save,Blinded,"[""CLERIC"", ""CLERIC (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2619155-holy-aura,xphb,holy-aura
2619175,Imprisonment,imprisonment,9th,1 Minute,30 ft.,,,"V, S, M","a statuette of the target worth 5,000+ GP",Until Dispelled,Abjuration,WIS Save,Restrained (...),"[""WARLOCK"", ""WIZARD"", ""WARLOCK (LEGACY)"", ""WIZARD (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2619175-imprisonment,xphb,imprisonment
2619016,Lesser Restoration,lesser restoration,2nd,1 Bonus Action,Touch,,,"V, S",,Instantaneous,Abjuration,,Healing,"[""ARTIFICER"", ""BARD"", ""CLERIC"", ""DRUID"", ""PALADIN"", ""RANGER"", ""LIFE DOMAIN"", ""CLOCKWORK SORCERY"", ""CELESTIAL PATRON"", ""ILLRIGGER"", ""BARD (LEGACY)"", ""CLERIC (LEGACY)"", ""DRUID (LEGACY)"", ""PALADIN (LEGACY)"", ""RANGER (LEGACY)"", ""THE CELESTIAL (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2619016-lesser-restoration,xphb,lesser-restoration
2619006,Mage Armor,mage armor,1st,1 Action,Touch,,,"V, S, M",a piece of cured leather,8 Hours,Abjuration,,Buff (...),"[""SORCERER"", ""WIZARD"", ""SORCERER (LEGACY)"", ""WIZARD (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2619006-mage-armor,xphb,mage-armor
2619018,Magic Circle,magic circle,3rd,1 Minute,10 ft.,10 ft. *,cylinder,"V, S, M","salt and powdered silver worth 100+ GP, which the spell consumes",1 Hour,Abjuration,CHA Save,,"[""ARCANA DOMAIN (SCAG)"", ""CLERIC"", ""PALADIN"", ""WARLOCK"", ""WIZARD"", ""CLERIC (LEGACY)"", ""PALADIN (LEGACY)"", ""WARLOCK (LEGACY)"", ""WIZARD (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2619018-magic-circle,xphb,magic-circle
2619026,Mass Cure Wounds,mass cure wounds,5th,1 Action,60 ft.,30 ft.,sphere,"V, S",,Instantaneous,Abjuration,,Healing,"[""CIRCLE OF WILDFIRE (TCOE)"", ""BARD"", ""CLERIC"", ""DRUID"", ""LIFE DOMAIN"", ""OATH OF THE HARVEST (HGTMH1)"", ""CRIMSON SORCERY"", ""BARD (LEGACY)"", ""CLERIC (LEGACY)"", ""DRUID (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2619026-mass-cure-wounds,xphb,mass-cure-wounds
2619027,Mass Heal,mass heal,9th,1 Action,60 ft.,,,"V, S",,Instantaneous,Abjuration,,Blinded (...),"[""CLERIC"", ""CLERIC (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2619027-mass-heal,xphb,mass-heal
2619028,Mass Healing Word,mass healing word,3rd,1 Bonus Action,60 ft.,,,V,,Instantaneous,Abjuration,,Healing,"[""ORDER DOMAIN (TCOE)"", ""BARD"", ""CLERIC"", ""LIFE DOMAIN"", ""BARD (LEGACY)"", ""CLERIC (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2619028-mass-healing-word,xphb,mass-healing-word
2619036,Mind Blank,mind blank,8th,1 Action,Touch,,,"V, S",,24 Hours,Abjuration,,Charmed,"[""BARD"", ""WIZARD"", ""BARD (LEGACY)"", ""WIZARD (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2619036-mind-blank,xphb,mind-blank
2619114,Mordenkainen's Private Sanctum,mordenkainen's private sanctum,4th,10 Minutes,120 ft.,*,cube,"V, S, M",a thin sheet of lead,24 Hours,Abjuration,,Control (...),"[""ARTIFICER"", ""WIZARD"", ""WIZARD (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2619114-mordenkainens-private-sanctum,xphb,mordenkainens-private-sanctum
2619122,Nondetection,nondetection,3rd,1 Action,Touch,,,"V, S, M","a pinch of diamond dust worth 25+ GP, which the spell consumes",8 Hours,Abjuration,,Deception,"[""KNOWLEDGE DOMAIN (PHB)"", ""OATH OF THE WATCHERS (TCOE)"", ""BARD"", ""RANGER"", ""WIZARD"", ""TRICKERY DOMAIN"", ""THE MANY"", ""BARD (LEGACY)"", ""RANGER (LEGACY)"", ""WIZARD (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2619122-nondetection,xphb,nondetection
2619128,Otiluke's Resilient Sphere,otiluke's resilient sphere,4th,1 Action,30 ft.,,,"V, S, M",a glass sphere,1 Minute,Abjuration,DEX Save,Control (...),"[""OATH OF REDEMPTION (XGTE)"", ""ARTIFICER"", ""PEACE DOMAIN (TCOE)"", ""WIZARD"", ""WIZARD (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2619128-otilukes-resilient-sphere,xphb,otilukes-resilient-sphere
2618849,Pass without Trace,pass without trace,2nd,1 Action,Self,30 ft.,emanation,"V, S, M",ashes from burned mistletoe,1 Hour,Abjuration,,Buff (...),"[""DRUID"", ""RANGER"", ""TRICKERY DOMAIN"", ""DRUID (LEGACY)"", ""RANGER (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2618849-pass-without-trace,xphb,pass-without-trace
2618864,Planar Binding,planar binding,5th,1 Hour,60 ft.,,,"V, S, M","a jewel worth 1,000+ GP, which the spell consumes",24 Hours,Abjuration,CHA Save,Control,"[""ARCANA DOMAIN (SCAG)"", ""BARD"", ""CLERIC"", ""DRUID"", ""WARLOCK"", ""WIZARD"", ""BARD (LEGACY)"", ""CLERIC (LEGACY)"", ""DRUID (LEGACY)"", ""WARLOCK (LEGACY)"", ""WIZARD (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2618864-planar-binding,xphb,planar-binding
2618892,Prayer of Healing,prayer of healing,2nd,10 Minutes,30 ft.,,,V,,Instantaneous,Abjuration,,Healing,"[""CLERIC"", ""PALADIN"", ""OATH OF THE HARVEST (HGTMH1)"", ""CLERIC (LEGACY)"", ""PALADIN (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2618892-prayer-of-healing,xphb,prayer-of-healing
2618898,Prismatic Wall,prismatic wall,9th,1 Action,60 ft.,,,"V, S",,10 Minutes,Abjuration,CON Save,Fire (...),"[""BARD"", ""WIZARD"", ""BARD (LEGACY)"", ""WIZARD (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2618898-prismatic-wall,xphb,prismatic-wall
2618908,Protection from Energy,protection from energy,3rd,1 Action,Touch,,,"V, S",,1 Hour,Abjuration,,Buff (...),"[""FORGE DOMAIN (XGTE)"", ""ARTIFICER"", ""CLERIC"", ""DRUID"", ""RANGER"", ""SORCERER"", ""WIZARD"", ""OATH OF GLORY"", ""OATH OF THE ANCIENTS"", ""OATH OF VENGEANCE"", ""CLOCKWORK SORCERY"", ""FUTURE YOU PATRON"", ""CLERIC (LEGACY)"", ""DRUID (LEGACY)"", ""RANGER (LEGACY)"", ""SORCERER (LEGACY)"", ""WIZARD (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2618908-protection-from-energy,xphb,protection-from-energy
2618912,Protection from Evil and Good,protection from evil and good,1st,1 Action,Touch,,,"V, S, M","a flask of Holy Water worth 25+ GP, which the spell consumes",10 Minutes,Abjuration,,Buff (...),"[""CLERIC"", ""DRUID"", ""PALADIN"", ""WARLOCK"", ""WIZARD"", ""OATH OF DEVOTION"", ""CLOCKWORK SORCERY"", ""CLERIC (LEGACY)"", ""DRUID (LEGACY)"", ""PALADIN (LEGACY)"", ""WARLOCK (LEGACY)"", ""WIZARD (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2618912-protection-from-evil-and-good,xphb,protection-from-evil-and-good
2618915,Protection from Poison,protection from poison,2nd,1 Action,Touch,,,"V, S",,1 Hour,Abjuration,,Buff (...),"[""ARTIFICER"", ""CLERIC"", ""DRUID"", ""PALADIN"", ""RANGER"", ""FESTUS DOMAIN"", ""CLERIC (LEGACY)"", ""DRUID (LEGACY)"", ""PALADIN (LEGACY)"", ""RANGER (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2618915-protection-from-poison,xphb,protection-from-poison
2618943,Remove Curse,remove curse,3rd,1 Action,Touch,,,"V, S",,Instantaneous,Abjuration,,Buff,"[""CLERIC"", ""PALADIN"", ""WARLOCK"", ""WIZARD"", ""ILLRIGGER"", ""CLERIC (LEGACY)"", ""PALADIN (LEGACY)"", ""WARLOCK (LEGACY)"", ""WIZARD (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2618943-remove-curse,xphb,remove-curse
2618947,Resistance,resistance,Cantrip,1 Action,Touch,,,"V, S",,1 Minute,Abjuration,,Buff,"[""ARTIFICER"", ""CLERIC"", ""DRUID"", ""CLERIC (LEGACY)"", ""DRUID (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2618947-resistance,xphb,resistance
2619003,Sanctuary,sanctuary,1st,1 Bonus Action,30 ft.,,,"V, S, M",a shard of glass from a mirror,1 Minute,Abjuration,WIS Save,Buff (...),"[""OATH OF REDEMPTION (XGTE)"", ""ARTIFICER"", ""PEACE DOMAIN (TCOE)"", ""THE GENIE (TCOE)"", ""CLERIC"", ""CLERIC (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2619003-sanctuary,xphb,sanctuary
2619019,Shield,shield,1st,1 Reaction *,Self,,,"V, S",,1 Round,Abjuration,,Warding,"[""THE HEXBLADE (XGTE)"", ""SORCERER"", ""WIZARD"", ""ILLRIGGER"", ""SORCERER (LEGACY)"", ""WIZARD (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2619019-shield,xphb,shield
2619020,Shield of Faith,shield of faith,1st,1 Bonus Action,60 ft.,,,"V, S, M",a prayer scroll,10 Minutes,Abjuration,,Buff (...),"[""CLERIC"", ""PALADIN"", ""WAR DOMAIN"", ""OATH OF DEVOTION"", ""ILLRIGGER"", ""CLERIC (LEGACY)"", ""PALADIN (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2619020-shield-of-faith,xphb,shield-of-faith
2619127,Symbol,symbol,7th,1 Minute,Touch,60 ft.,sphere,"V, S, M","powdered diamond worth 1,000+ GP, which the spell consumes",Until Dispelled or Triggered,Abjuration,,Necrotic,"[""BARD"", ""CLERIC"", ""DRUID"", ""WIZARD"", ""BARD (LEGACY)"", ""CLERIC (LEGACY)"", ""DRUID (LEGACY)"", ""WIZARD (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2619127-symbol,xphb,symbol
2619203,Warding Bond,warding bond,2nd,1 Action,Touch,,,"V, S, M","a pair of platinum rings worth 50+ GP each, which you and the target must wear for the duration",1 Hour,Abjuration,,Buff (...),"[""OATH OF THE CROWN (SCAG)"", ""PEACE DOMAIN (TCOE)"", ""CLERIC"", ""PALADIN"", ""OATH OF THE HARVEST (HGTMH1)"", ""CLERIC (LEGACY)"", ""PALADIN (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2619203-warding-bond,xphb,warding-bond
1585025,Air Bubble,air bubble,2nd,1 Action,60 ft.,,,S,,24 Hours,Conjuration,,Buff,[],,https://www.dndbeyond.com/spells/1585025-air-bubble,aag,air-bubble
2158658,Spray of Cards,spray of cards,2nd,1 Action,Self,15 ft.,cone,"V, S, M",,Instantaneous,Conjuration,DEX Save,Force,[],,https://www.dndbeyond.com/spells/2158658-spray-of-cards,bmt,spray-of-cards
1239805,Vortex Warp,vortex warp,2nd,1 Action,90 ft.,,,"V, S",,Instantaneous,Conjuration,CON Save,Teleportation,[],,https://www.dndbeyond.com/spells/1239805-vortex-warp,scc,vortex-warp
654072,Blade of Disaster,blade of disaster,9th,1 Bonus Action,60 ft.,,,"V, S",,1 Minute,Conjuration,Melee,Force,[],,https://www.dndbeyond.com/spells/654072-blade-of-disaster,tce,blade-of-disaster
717915,Dream of the Blue Veil,dream of the blue veil,7th,10 Minutes,20 ft.,,,"V, S, M",,6 Hours,Conjuration,,Teleportation,[],,https://www.dndbeyond.com/spells/717915-dream-of-the-blue-veil,tce,dream-of-the-blue-veil
719948,Summon Shadowspawn,summon shadowspawn,3rd,1 Action,90 ft.,,,"V, S, M",,1 Hour,Conjuration,,Summoning,[],,https://www.dndbeyond.com/spells/719948-summon-shadowspawn,tce,summon-shadowspawn
2413,Sword Burst,sword burst,Cantrip,1 Action,5 ft.,,,V,,Instantaneous,Conjuration,DEX Save,Force,[],,https://www.dndbeyond.com/spells/2413-sword-burst,tce,sword-burst
2373,Create Bonfire,create bonfire,Cantrip,1 Action,60 ft.,5 ft.,cube,"V, S",,1 Minute,Conjuration,DEX Save,Fire,"[""ARTIFICER"", ""DRUID"", ""SORCERER"", ""WARLOCK"", ""WIZARD"", ""DRUID (LEGACY)"", ""SORCERER (LEGACY)"", ""WARLOCK (LEGACY)"", ""WIZARD (LEGACY)""]",Elemental Evil Player's Companion,https://www.dndbeyond.com/spells/2373-create-bonfire,xge,create-bonfire
